,Ad Name,Adset Name,Spend In USD,Impressions,First Ad Spend Date,Last Ad Spend Date,Days ad spending
1877,BB_SM_1800_OS_2_AdF-Vid_9x16_L-US_25w12_EXTRA30-Benefit_CTA-434_Itr-1718,W20+ || CAUS || 552 || 1800 || W14 || 1C || 04.03,$1,35,2025-04-03,2025-04-07,4
1878,BB_SM_1522_SL_1_AdF-Vid_9x16_L-US_24w47_Offer-SignToGet-70Extra20_CTA-331 - Copy 6,W20+ || TopC || Broad || LP:Mix || Bl30d || 1C || 03.12,$1,41,2025-03-12,2025-04-13,32
1879,BB_SM_1522_SL_1_AdF-Vid_9x16_L-US_24w47_Offer-SignToGet-70Extra_CTA-331 – Copy 4 - Copy 4,W21+ || 🌎 WW || OPL || LP:Mix || Bl30d || 1C || 03.26,$1,50,2025-03-26,2025-04-13,18
1880,BBF_SM_132_SL_12_AdF-St_1x1_L-US_25w09_blog_bellybook_cv_en-Blog_Itr-95_PG-Ruth_Lawson | Simple belly fat | Bulge. Pooch. Pudge. | LP:BB 575,WW (incl. list) | Emails | 18-65+ | FB Pixel | 7C1V | 04.09,$1,60,2025-04-09,2025-04-10,1
1881,BB_SM_1292_OS_3-5_AdF-St_1x1_L-US_24w39_Benefit-FreebookNew_CTA-00 - Copy,W20+ || TopC || FrB Pixel || BB LLA5% || 1C || 02.19,$1,54,2025-02-19,2025-04-12,52
1882,BB_SM_1474_JM_1_AdF-Vid_9x16_L-US_24w46_Offer-Extra20_CTA-295 - Copy 4,W21+ || TopC || Broad || LP:Mix || Bl30d || 1C || 03.26,$1,20,2025-03-26,2025-04-14,19
1883,BB_SM_1522_SL_1_AdF-Vid_9x16_L-US_24w47_Offer-SignToGet-70Extra20_CTA-331 - Copy 6,W20+ || TopC || BB vLLA 6% || LP:Mix || Bl30d || 1C || 03.12,$1,26,2025-03-13,2025-04-10,28
1884,BB_TT-FB_625_L-US_GS_1_AdT-New_MN-00_BFCouldntBelieve_EXTRA20_Itr-24w51-2-VD - Copy 4,W21+ || TopC || Broad || LP:Mix || Bl30d || 1C || 03.26,$1,54,2025-03-26,2025-04-14,19
1885,BB_SM_1522_SL_3_AdF-Vid_9x16_L-US_24w47_Offer-SignToGet-70Extra_CTA-331 - Copy 5,W21+ || TopC || Broad || LP:Mix || Bl30d || 1C || 03.26,$1,30,2025-04-03,2025-04-14,11
1886,BBF_FB_3947_BR_1_AdF-St_blog_bellybook_cv_en_Itr-24w35-4-SL  | Simple belly fat | Bulge. Pooch. Pudge. | LP:BB 575 – Copy 21,"US,UK,CA | Active Subs | 18-65+ | FB Pixel | 7C1V | 03.29",$1,36,2025-03-29,2025-04-09,11
1887,BB_FB_1206_AS_1-2_AdF-St_24w34_Benefit-FreeBook_CTA-121_Itr-24w34-2-VD - Copy 3,🫳 W21+ || WW || OPB || 1C || 03.07,$1,39,2025-03-31,2025-04-14,14
1888,BB_FB_1105_VD_1_AdF-Vid_24w39_Testimonial-WeightLoss_CTA-14_Itr-24w39-10-10-OS - Copy 2,W21+ || Top LTV || BB LLA 6-8% || 1C || 03.07,$1,26,2025-03-07,2025-04-13,37
1889,BB_TT_514_L-US_GS_4_AdT-Trend_MN-Gabija_GirlMath_S-50_Itr-H5-GS - Copy,W21+ || 🌎 WW || BB VV LLA1% || LP:Mix || Bl30d || 1C || 03.26,$1,128,2025-03-27,2025-04-14,18
1890,BB_GS_TT_214_10_MN-00_AdT-Testi_PH FOOD_CH-60,manual || LP test || W21+ || Top LTV || /525 || BROAD || BL30d || 1C || 02.11,$1,65,2025-04-11,2025-04-13,2
1891,BB_GS_TT_214_10_MN-00_AdT-Testi_PH FOOD_CH-60 - Copy 5,W21+ || 🌎 WW || BB VV LLA1% || LP:Mix || Bl30d || 1C || 03.26,$1,347,2025-04-01,2025-04-14,13
1892,BBF_SM_120_OS_4_AdF-St_1x1_L-US_25w07_blog_5reasonsbook_cv_en-ItrFB_3948_5_Cardiologist | LP:BB 575 – Copy 4,WW (incl. list) | Emails | 18-65+ | FB Pixel | 7C | 04.06,$1,36,2025-04-06,2025-04-09,3
1893,BB_GS_TT_205_3A_MN-Korne_AdT-Trend_Batch13_CH-60 - Copy,W21+ || 🌎 WW || BB VV LLA5-10% || LP:Mix || Bl30d || 1C || 03.26,$1,247,2025-03-26,2025-04-14,19
1894,BB_SM_1374_AS_7-8_AdF-St_1x1_L-US_24w42_Challenge-Freebook_CTA-283 - Copy 3,manual W21+ || 🌎 WW || BB VV LLA5-10% || LP:Mix || FrB Bl30d || 1C || 03.27,$1,139,2025-03-29,2025-04-12,14
1895,BB_SM_1292_OS_3-5_AdF-St_1x1_L-US_24w39_Benefit-FreebookNew_CTA-00 - Copy,🫳 || CC || TopC l30d || FrB || ASC || 02.25 Ad set,$1,30,2025-02-25,2025-04-13,47
1896,BB_TT_205_L-US_R-9x16_GS_22_AdT-Trend_MN-Korne-B13_S-SS50_1WIt-VD-2 - Copy,W21+ || WW || OPB || BL14d || 1C || 02.19,$1,17,2025-02-18,2025-04-14,55
1897,BB_SM_1292_OS_3-5_AdF-St_1x1_L-US_24w39_Benefit-FreebookNew_CTA-00 - Copy 4,W21+ || TopC || BAU INT || LP:Mix || FrB Bl30d || 1C || 03.27,$1,42,2025-03-27,2025-04-11,15
1898,BB_TT-FB_625_L-US_GS_1_AdT-New_MN-00_BFCouldntBelieve_EXTRA20_Itr-24w51-2-VD - Copy 4,W21+ || 🌎 WW || OPL || LP:Mix || Bl30d || 1C || 03.26,$1,83,2025-03-27,2025-04-13,17
1899,BB_TT-FB_625_L-US_GS_1_AdT-New_MN-00_BFCouldntBelieve_S-65_Itr-VO1-VD_Itr-CTA1-VD_Itr-Sc2-MD - Copy,W21+ || 🌎 WW || BB VV LLA1% || LP:Mix || Bl30d || 1C || 03.26,$1,61,2025-03-26,2025-04-14,19
1900,BB_GS_TT_289_14_AdT-Combo_SS-60_GS-Scr10 | [SL] - Copy,W21+ || 🌎 WW || BB vLLA1-5% || LP:Mix || Bl30d || 1C || 03.26,$1,348,2025-03-26,2025-04-14,19
1901,BB_327_GS_TT_7C_AdT-Trend_MN-2_Batch25_SS-60_Itr-24w33-4-5-AS - Copy,W20+ || Top Eng || BB Looker LLA 5% || BL14d || 1C || 02.19,$1,68,2025-02-18,2025-04-14,55
